frame,event,state,gate_enabled,memory_remaining,ready_count,lost_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_detected,normalized_detected,auto_aim_detected,centered_for_lost,raw_quiet,normalized_quiet,target_lost_candidate
18365,SAMPLE,TARGET_LOCKED,true,0,0,0,156.73382568359,156.73382568359,-17.140445709229,0.01708972454071,false,false,false,false,false,false,false,false
18370,SAMPLE,TARGET_LOCKED,true,0,0,0,158.67860412598,158.67860412598,-6.9353618621826,0.0068790912628174,true,false,false,false,true,false,false,false
18375,SAMPLE,TARGET_LOCKED,true,0,0,0,159.15951538086,159.15951538086,-4.4113574028015,0.004338264465332,true,false,false,false,true,false,false,false
18380,SAMPLE,TARGET_LOCKED,true,0,0,2,159.65997314453,159.65997314453,-1.7846752405167,0.0017017126083374,true,false,false,false,true,true,true,true
18385,SAMPLE,TARGET_LOCKED,true,0,0,0,131.48527526855,131.48527526855,-148.01458740234,0.14853477478027,false,true,true,true,false,false,false,false
18390,SAMPLE,TARGET_LOCKED,true,0,0,0,109.4034576416,109.4034576416,-256.66592407227,0.25955832004547,false,true,true,true,false,false,false,false
18395,SAMPLE,TARGET_LOCKED,true,0,0,0,99.180564880371,99.180564880371,-304.0905456543,0.30893397331238,false,true,true,true,false,false,false,false
18400,SAMPLE,TARGET_LOCKED,true,0,0,0,96.276443481445,96.276443481445,-317.17199707031,0.32274007797241,false,true,true,true,false,false,false,false
18405,SAMPLE,TARGET_LOCKED,true,0,0,0,93.254348754883,93.254348754883,-330.59197998047,0.33692967891693,false,true,true,true,false,false,false,false
18410,SAMPLE,TARGET_LOCKED,true,0,0,0,90.928100585938,90.928100585938,-340.70895385742,0.3477635383606,false,true,true,true,false,false,false,false
18415,SAMPLE,TARGET_LOCKED,true,0,0,0,89.851257324219,89.851257324219,-345.26467895508,0.35274910926819,false,true,true,true,false,false,false,false
18420,SAMPLE,TARGET_LOCKED,true,0,0,0,88.877113342285,88.877113342285,-349.00955200195,0.35725522041321,false,true,true,true,false,false,false,false
18425,SAMPLE,TARGET_LOCKED,true,0,0,0,88.384124755859,88.384124755859,-350.34802246094,0.35840570926666,false,true,true,true,false,false,false,false
18430,SAMPLE,TARGET_LOCKED,true,0,0,0,88.132751464844,88.132751464844,-350.99981689453,0.36065876483917,false,true,true,true,false,false,false,false
18435,SAMPLE,TARGET_LOCKED,true,0,0,0,87.895088195801,87.895088195801,-350.85858154297,0.36176133155823,false,true,true,true,false,false,false,false
18440,SAMPLE,TARGET_LOCKED,true,0,0,0,87.936569213867,87.936569213867,-350.1955871582,0.36156952381134,false,true,true,true,false,false,false,false
18445,SAMPLE,TARGET_LOCKED,true,0,0,0,88.357955932617,88.357955932617,-347.71170043945,0.35965204238892,false,true,true,true,false,false,false,false
18450,SAMPLE,TARGET_LOCKED,true,0,0,0,88.173377990723,88.173377990723,-348.39401245117,0.36046707630157,false,true,true,true,false,false,false,false
18455,SAMPLE,TARGET_LOCKED,true,0,0,0,87.715309143066,87.715309143066,-350.26519775391,0.362624168396,false,true,true,true,false,false,false,false
18460,SAMPLE,TARGET_LOCKED,true,0,0,0,87.48713684082,87.48713684082,-351.21658325195,0.36363089084625,false,true,true,true,false,false,false,false
18465,SAMPLE,TARGET_LOCKED,true,0,0,0,87.066833496094,87.066833496094,-352.99249267578,0.36554849147797,false,true,true,true,false,false,false,false
18470,SAMPLE,TARGET_LOCKED,true,0,0,0,86.790672302246,86.790672302246,-354.17727661133,0.36679482460022,false,true,true,true,false,false,false,false
18475,SAMPLE,TARGET_LOCKED,true,0,0,0,86.440170288086,86.440170288086,-355.66354370117,0.36842465400696,false,true,true,true,false,false,false,false
18480,SAMPLE,TARGET_LOCKED,true,0,0,0,86.30534362793,86.30534362793,-356.22088623047,0.36904788017273,false,true,true,true,false,false,false,false
18485,SAMPLE,TARGET_LOCKED,true,0,0,0,86.420913696289,86.420913696289,-355.68273925781,0.36852049827576,false,true,true,true,false,false,false,false
18490,SAMPLE,TARGET_LOCKED,true,0,0,0,86.493461608887,86.493461608887,-355.345703125,0.36818492412567,false,true,true,true,false,false,false,false
18495,SAMPLE,TARGET_LOCKED,true,0,0,0,86.547691345215,86.547691345215,-355.07244873047,0.36789739131927,false,true,true,true,false,false,false,false
18500,SAMPLE,TARGET_LOCKED,true,0,0,0,86.544898986816,86.544898986816,-355.06674194336,0.36794531345367,false,true,true,true,false,false,false,false
18505,SAMPLE,TARGET_LOCKED,true,0,0,0,86.658638000488,86.658638000488,-354.52410888672,0.3674179315567,false,true,true,true,false,false,false,false
18510,SAMPLE,TARGET_LOCKED,true,0,0,0,86.623886108398,86.623886108398,-354.64999389648,0.36760973930359,false,true,true,true,false,false,false,false
18515,SAMPLE,TARGET_LOCKED,true,0,0,0,86.373924255371,86.373924255371,-355.68725585938,0.36871230602264,false,true,true,true,false,false,false,false
18520,SAMPLE,TARGET_LOCKED,true,0,0,0,86.266792297363,86.266792297363,-356.13064575195,0.36923956871033,false,true,true,true,false,false,false,false
18525,SAMPLE,TARGET_LOCKED,true,0,0,0,86.284385681152,86.284385681152,-356.33349609375,0.36914372444153,false,true,true,true,false,false,false,false
18530,SAMPLE,TARGET_LOCKED,true,0,0,0,85.932914733887,85.932914733887,-358.25839233398,0.37072563171387,false,true,true,true,false,false,false,false
18535,SAMPLE,TARGET_LOCKED,true,0,0,0,118.98983764648,118.98983764648,-209.76756286621,0.2119562625885,false,true,true,true,false,false,false,false
18540,SAMPLE,TARGET_LOCKED,true,0,0,0,137.5671081543,137.5671081543,-116.82068634033,0.11718356609344,false,true,true,true,false,false,false,false
18545,SAMPLE,TARGET_LOCKED,true,0,0,0,150.92437744141,150.92437744141,-47.573043823242,0.047578096389771,false,true,true,true,false,false,false,false
18550,SAMPLE,TARGET_LOCKED,true,0,0,0,156.32830810547,156.32830810547,-19.267297744751,0.019199013710022,false,false,false,false,false,false,false,false
18555,SAMPLE,TARGET_LOCKED,true,0,0,0,158.51455688477,158.51455688477,-7.7962837219238,0.0077419281005859,true,false,false,false,true,false,false,false
18560,SAMPLE,TARGET_LOCKED,true,0,0,0,159.39903259277,159.39903259277,-3.1542427539825,0.0030919313430786,true,false,false,false,true,false,false,false
18565,SAMPLE,TARGET_LOCKED,true,0,0,1,159.75686645508,159.75686645508,-1.2761188745499,0.001941442489624,true,false,false,false,true,true,true,true
18570,SAMPLE,TARGET_LOCKED,true,0,0,6,159.84535217285,159.84535217285,-0.81169021129608,0.00074303150177002,true,false,false,false,true,true,true,true
18575,SAMPLE,TARGET_LOCKED,true,0,0,11,159.94619750977,159.94619750977,-0.28238981962204,0.00021576881408691,true,false,false,false,true,true,true,true
18580,SAMPLE,TARGET_LOCKED,true,0,0,16,159.96577453613,159.96577453613,-0.17963707447052,0.00011980533599854,true,false,false,false,true,true,true,true
18585,SAMPLE,TARGET_LOCKED,true,0,0,21,159.98809814453,159.98809814453,-0.062468536198139,2.3961067199707e-05,true,false,false,false,true,true,true,true
18590,SAMPLE,TARGET_LOCKED,true,0,0,26,159.99440002441,159.99440002441,-0.029392246156931,-2.3841857910156e-05,true,false,false,false,true,true,true,true
18595,SAMPLE,TARGET_LOCKED,true,0,0,31,159.99736022949,159.99736022949,-0.013855200260878,-2.3841857910156e-05,true,false,false,false,true,true,true,true
18600,SAMPLE,TARGET_LOCKED,true,0,0,36,159.99876403809,159.99876403809,-0.0064871171489358,-2.3841857910156e-05,true,false,false,false,true,true,true,true
18605,SAMPLE,TARGET_LOCKED,true,0,0,41,159.99942016602,159.99942016602,-0.0030433388892561,-2.3841857910156e-05,true,false,false,false,true,true,true,true
18610,SAMPLE,TARGET_LOCKED,true,0,0,0,142.5304107666,142.5304107666,-91.308532714844,0.091393113136292,false,true,true,true,false,false,false,false
18615,SAMPLE,TARGET_LOCKED,true,0,0,0,130.19781494141,130.19781494141,-154.54154968262,0.15510225296021,false,true,true,true,false,false,false,false
18620,SAMPLE,TARGET_LOCKED,true,0,0,0,140.59979248047,140.59979248047,-101.30034637451,0.10145998001099,false,true,true,true,false,false,false,false
18625,SAMPLE,TARGET_LOCKED,true,0,0,0,144.57345581055,144.57345581055,-80.702644348145,0.080750942230225,false,true,true,true,false,false,false,false
18630,SAMPLE,TARGET_LOCKED,true,0,0,0,146.63330078125,146.63330078125,-69.981788635254,0.070012927055359,false,true,true,true,false,false,false,false
18635,SAMPLE,TARGET_LOCKED,true,0,0,0,147.88500976563,147.88500976563,-63.45369720459,0.063445448875427,false,true,true,true,false,false,false,false
18640,SAMPLE,TARGET_LOCKED,true,0,0,0,148.39163208008,148.39163208008,-60.80810546875,0.060808897018433,false,true,true,true,false,false,false,false
18645,SAMPLE,TARGET_LOCKED,true,0,0,0,148.84378051758,148.84378051758,-58.445465087891,0.058459877967834,false,true,true,true,false,false,false,false
18650,SAMPLE,TARGET_LOCKED,true,0,0,0,149.34680175781,149.34680175781,-55.816059112549,0.05582332611084,false,true,true,true,false,false,false,false
18655,SAMPLE,TARGET_LOCKED,true,0,0,0,149.74258422852,149.74258422852,-53.74490737915,0.053762078285217,false,true,true,true,false,false,false,false
18660,SAMPLE,TARGET_LOCKED,true,0,0,0,149.7801361084,149.7801361084,-53.545356750488,0.05357027053833,false,true,true,true,false,false,false,false
18665,SAMPLE,TARGET_LOCKED,true,0,0,0,149.53042602539,149.53042602539,-54.847023010254,0.054864645004272,false,true,true,true,false,false,false,false
18670,SAMPLE,TARGET_LOCKED,true,0,0,0,149.55010986328,149.55010986328,-54.741748809814,0.054768800735474,false,true,true,true,false,false,false,false
18675,SAMPLE,TARGET_LOCKED,true,0,0,0,149.89939880371,149.89939880371,-52.912021636963,0.052947163581848,false,true,true,true,false,false,false,false
18680,SAMPLE,TARGET_LOCKED,true,0,0,0,150.52783203125,150.52783203125,-49.625,0.049639344215393,false,true,true,true,false,false,false,false
18685,SAMPLE,TARGET_LOCKED,true,0,0,0,151.36137390137,151.36137390137,-45.264141082764,0.045277118682861,false,true,true,true,false,false,false,false
18690,SAMPLE,TARGET_LOCKED,true,0,0,0,152.19078063965,152.19078063965,-40.921195983887,0.04091477394104,false,true,true,true,false,false,false,false
18695,SAMPLE,TARGET_LOCKED,true,0,0,0,152.73257446289,152.73257446289,-38.082653045654,0.038086414337158,false,true,true,true,false,false,false,false
18700,SAMPLE,TARGET_LOCKED,true,0,0,0,153.5149230957,153.5149230957,-33.982105255127,0.033963799476624,false,true,true,true,false,false,false,false
18705,SAMPLE,TARGET_LOCKED,true,0,0,0,153.57543945313,153.57543945313,-33.66569519043,0.033676147460938,false,true,true,true,false,false,false,false
18710,SAMPLE,TARGET_LOCKED,true,0,0,0,153.36633300781,153.36633300781,-34.763381958008,0.034778714179993,false,true,true,true,false,false,false,false
18715,SAMPLE,TARGET_LOCKED,true,0,0,0,153.17416381836,153.17416381836,-35.771488189697,0.035353899002075,false,true,true,true,false,false,false,false
18720,SAMPLE,TARGET_LOCKED,true,0,0,0,153.14122009277,153.14122009277,-35.944541931152,0.035929322242737,false,true,true,true,false,false,false,false
18725,SAMPLE,TARGET_LOCKED,true,0,0,0,153.14308166504,153.14308166504,-35.93546295166,0.035929322242737,false,true,true,true,false,false,false,false
18730,SAMPLE,TARGET_LOCKED,true,0,0,0,153.2227935791,153.2227935791,-35.518501281738,0.035497784614563,false,true,true,true,false,false,false,false
18735,SAMPLE,TARGET_LOCKED,true,0,0,0,153.26902770996,153.26902770996,-35.277153015137,0.035258054733276,false,true,true,true,false,false,false,false
18740,SAMPLE,TARGET_LOCKED,true,0,0,0,153.30389404297,153.30389404297,-35.094875335693,0.035066366195679,false,true,true,true,false,false,false,false
18745,SAMPLE,TARGET_LOCKED,true,0,0,0,153.38681030273,153.38681030273,-34.660835266113,0.034634947776794,false,true,true,true,false,false,false,false
18750,SAMPLE,TARGET_LOCKED,true,0,0,0,153.42321777344,153.42321777344,-34.470161437988,0.034443140029907,false,true,true,true,false,false,false,false
18755,SAMPLE,TARGET_LOCKED,true,0,0,0,153.2963104248,153.2963104248,-35.134502410889,0.035114288330078,false,true,true,true,false,false,false,false
18760,SAMPLE,TARGET_LOCKED,true,0,0,0,153.00035095215,153.00035095215,-36.683639526367,0.036696314811707,false,true,true,true,false,false,false,false
18765,SAMPLE,TARGET_LOCKED,true,0,0,0,152.4955291748,152.4955291748,-39.324203491211,0.039332866668701,false,true,true,true,false,false,false,false
18770,SAMPLE,TARGET_LOCKED,true,0,0,0,151.27215576172,151.27215576172,-45.719158172607,0.045756459236145,false,true,true,true,false,false,false,false
18775,SAMPLE,TARGET_LOCKED,true,0,0,0,150.50375366211,150.50375366211,-49.733192443848,0.049783229827881,false,true,true,true,false,false,false,false
18780,SAMPLE,TARGET_LOCKED,true,0,0,0,148.97245788574,148.97245788574,-57.727691650391,0.057788729667664,false,true,true,true,false,false,false,false
18785,SAMPLE,TARGET_LOCKED,true,0,0,0,147.71192932129,147.71192932129,-64.309410095215,0.064356207847595,false,true,true,true,false,false,false,false
18790,SAMPLE,TARGET_LOCKED,true,0,0,0,147.48121643066,147.48121643066,-65.530136108398,0.065554618835449,false,true,true,true,false,false,false,false
18795,SAMPLE,TARGET_LOCKED,true,0,0,0,147.64653015137,147.64653015137,-64.679626464844,0.064691781997681,false,true,true,true,false,false,false,false
18800,SAMPLE,TARGET_LOCKED,true,0,0,0,147.69345092773,147.69345092773,-64.437316894531,0.064452171325684,false,true,true,true,false,false,false,false
18805,SAMPLE,TARGET_LOCKED,true,0,0,0,147.75038146973,147.75038146973,-64.142440795898,0.064164519309998,false,true,true,true,false,false,false,false
18810,SAMPLE,TARGET_LOCKED,true,0,0,0,147.794921875,147.794921875,-63.910499572754,0.063924789428711,false,true,true,true,false,false,false,false
18815,SAMPLE,TARGET_LOCKED,true,0,0,0,147.74697875977,147.74697875977,-64.160453796387,0.064164519309998,false,true,true,true,false,false,false,false
18820,SAMPLE,TARGET_LOCKED,true,0,0,0,147.58508300781,147.58508300781,-65.003837585449,0.065027356147766,false,true,true,true,false,false,false,false
18825,SAMPLE,TARGET_LOCKED,true,0,0,0,147.63168334961,147.63168334961,-64.759002685547,0.064787626266479,false,true,true,true,false,false,false,false
18830,SAMPLE,TARGET_LOCKED,true,0,0,0,147.97026062012,147.97026062012,-62.993282318115,0.063014030456543,false,true,true,true,false,false,false,false
18835,SAMPLE,TARGET_LOCKED,true,0,0,0,148.19638061523,148.19638061523,-61.813777923584,0.061815619468689,false,true,true,true,false,false,false,false
18840,SAMPLE,TARGET_LOCKED,true,0,0,0,148.34033203125,148.34033203125,-61.06209564209,0.061096549034119,false,true,true,true,false,false,false,false
18845,SAMPLE,TARGET_LOCKED,true,0,0,0,148.2532043457,148.2532043457,-61.517051696777,0.061527967453003,false,true,true,true,false,false,false,false
18850,SAMPLE,TARGET_LOCKED,true,0,0,0,148.15573120117,148.15573120117,-62.02685546875,0.062055230140686,false,true,true,true,false,false,false,false
18855,SAMPLE,TARGET_LOCKED,true,0,0,0,148.37428283691,148.37428283691,-60.887329101563,0.060904741287231,false,true,true,true,false,false,false,false
18860,SAMPLE,TARGET_LOCKED,true,0,0,0,148.36512756348,148.36512756348,-60.934005737305,0.06095278263092,false,true,true,true,false,false,false,false
18865,SAMPLE,TARGET_LOCKED,true,0,0,0,148.45414733887,148.45414733887,-60.468811035156,0.060473322868347,false,true,true,true,false,false,false,false
18870,SAMPLE,TARGET_LOCKED,true,0,0,0,148.36790466309,148.36790466309,-60.91780090332,0.060904741287231,false,true,true,true,false,false,false,false
18875,SAMPLE,TARGET_LOCKED,true,0,0,0,148.21766662598,148.21766662598,-61.700534820557,0.06171977519989,false,true,true,true,false,false,false,false
18880,SAMPLE,TARGET_LOCKED,true,0,0,0,148.19635009766,148.19635009766,-61.805374145508,0.061815619468689,false,true,true,true,false,false,false,false
18885,SAMPLE,TARGET_LOCKED,true,0,0,0,148.22410583496,148.22410583496,-61.658149719238,0.061671733856201,false,true,true,true,false,false,false,false
18890,SAMPLE,TARGET_LOCKED,true,0,0,0,147.82206726074,147.82206726074,-63.761302947998,0.063781023025513,false,true,true,true,false,false,false,false
18895,SAMPLE,TARGET_LOCKED,true,0,0,0,146.74533081055,146.74533081055,-69.387405395508,0.069437623023987,false,true,true,true,false,false,false,false
18900,SAMPLE,TARGET_LOCKED,true,0,0,0,145.89057922363,145.89057922363,-73.849586486816,0.073847889900208,false,true,true,true,false,false,false,false
18905,SAMPLE,TARGET_LOCKED,true,0,0,0,145.70658874512,145.70658874512,-74.810249328613,0.074854612350464,false,true,true,true,false,false,false,false
18910,SAMPLE,TARGET_LOCKED,true,0,0,0,145.87728881836,145.87728881836,-73.922142028809,0.073943734169006,false,true,true,true,false,false,false,false
18915,SAMPLE,TARGET_LOCKED,true,0,0,0,146.14088439941,146.14088439941,-72.549606323242,0.073272585868835,false,true,true,true,false,false,false,false
18920,SAMPLE,TARGET_LOCKED,true,0,0,0,146.1876373291,146.1876373291,-72.30598449707,0.072361826896667,false,true,true,true,false,false,false,false
18925,SAMPLE,TARGET_LOCKED,true,0,0,0,146.26705932617,146.26705932617,-71.89200592041,0.071930408477783,false,true,true,true,false,false,false,false
18930,SAMPLE,TARGET_LOCKED,true,0,0,0,146.39752197266,146.39752197266,-71.212272644043,0.071259260177612,false,true,true,true,false,false,false,false
18935,SAMPLE,TARGET_LOCKED,true,0,0,0,146.44314575195,146.44314575195,-70.975044250488,0.070971608161926,false,true,true,true,false,false,false,false
18940,SAMPLE,TARGET_LOCKED,true,0,0,0,146.24674987793,146.24674987793,-71.99821472168,0.072026252746582,false,true,true,true,false,false,false,false
18945,SAMPLE,TARGET_LOCKED,true,0,0,0,145.56349182129,145.56349182129,-75.554405212402,0.075573682785034,false,true,true,true,false,false,false,false
18950,SAMPLE,TARGET_LOCKED,true,0,0,0,144.23663330078,144.23663330078,-82.449775695801,0.082524657249451,false,true,true,true,false,false,false,false
18955,SAMPLE,TARGET_LOCKED,true,0,0,0,142.45356750488,142.45356750488,-91.693756103516,0.091776609420776,false,true,true,true,false,false,false,false
18960,SAMPLE,TARGET_LOCKED,true,0,0,0,141.43908691406,141.43908691406,-96.938484191895,0.097097635269165,false,true,true,true,false,false,false,false
