shot_id,frame,event,outcome,relative_frame,screen_x,screen_y,screen_x_copy,screen_y_copy,raw_horizontal,raw_vertical,raw_vertical_copy,normalized_horizontal,normalized_vertical
,2855,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2856,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2857,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2858,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2859,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2860,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2861,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2862,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2863,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2864,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2865,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2866,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2867,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2868,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2869,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2870,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2871,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2872,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2873,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2874,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2875,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2876,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2877,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2878,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2879,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2880,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2881,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2882,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2883,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2884,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2885,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2886,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2887,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
,2888,SAMPLE,,,160.0,120.0,160.0,120.0,0.0,0.0,0.0,0.0,-0.069813169538975
