frame,event,classification,raw_horizontal,raw_offset,related,screen_x,screen_x_copy,normalized
3235,,ARM_CENTERED,0.0,-2.0,-1.7937490940094,160.0,160.0,0.0
3237,,ARM_CENTERED,0.0,-2.0,-1.7934048175812,160.0,160.0,0.0
3239,,ARM_CENTERED,0.0,-2.0,-1.7930904626846,160.0,160.0,0.0
3241,,ARM_CENTERED,0.0,-2.0,-1.7928062677383,160.0,160.0,0.0
3243,,ARM_CENTERED,0.0,-2.0,-1.7925525903702,160.0,160.0,0.0
3245,,ARM_CENTERED,0.0,-2.0,-1.7923290729523,160.0,160.0,0.0
3247,,ARM_CENTERED,0.0,-2.0,-1.7921367883682,160.0,160.0,0.0
3249,,ARM_CENTERED,0.0,-2.0,-1.7919750213623,160.0,160.0,0.0
3251,,ARM_CENTERED,0.0,-2.0,-1.7918446063995,160.0,160.0,0.0
3255,,ARM_CENTERED,0.0,-2.0,-1.7916779518127,160.0,160.0,0.0
3265,,ARM_CENTERED,0.0,-2.0,-1.7918176651001,160.0,160.0,0.0
3267,,ARM_CENTERED,0.0,-2.0,-1.7919422388077,160.0,160.0,0.0
3269,,ARM_CENTERED,0.0,-2.0,-1.7920995950699,160.0,160.0,0.0
3271,,ARM_CENTERED,0.0,-2.0,-1.7922896146774,160.0,160.0,0.0
3273,,ARM_CENTERED,0.0,-2.0,-1.7925124168396,160.0,160.0,0.0
3275,,ARM_CENTERED,0.0,-2.0,-1.7927681207657,160.0,160.0,0.0
3277,,ARM_CENTERED,0.0,-2.0,-1.7930570840836,160.0,160.0,0.0
3279,,ARM_CENTERED,0.0,-2.0,-1.7933793067932,160.0,160.0,0.0
3281,,ARM_CENTERED,0.0,-2.0,-1.7937345504761,160.0,160.0,0.0
3283,,ARM_CENTERED,0.0,-2.0,-1.7941232919693,160.0,160.0,0.0
3285,,ARM_CENTERED,0.0,-2.0,-1.79454600811,160.0,160.0,0.0
3287,,ARM_CENTERED,0.0,-2.0,-1.7950022220612,160.0,160.0,0.0
3289,,ARM_CENTERED,0.0,-2.0,-1.7954924106598,160.0,160.0,0.0
3291,,ARM_CENTERED,0.0,-2.0,-1.7960165739059,160.0,160.0,0.0
3293,,ARM_CENTERED,0.0,-2.0,-1.7965748310089,160.0,160.0,0.0
3295,,ARM_CENTERED,0.0,-2.0,-1.797167301178,160.0,160.0,0.0
3297,,ARM_CENTERED,0.0,-2.0,-1.7977939844131,160.0,160.0,0.0
3299,,ARM_CENTERED,0.0,-2.0,-1.7984449863434,160.0,160.0,0.0
3301,,ARM_CENTERED,0.0,-2.0,-1.7991205453873,160.0,160.0,0.0
3303,,ARM_CENTERED,0.0,-2.0,-1.7998213768005,160.0,160.0,0.0
3305,,ARM_CENTERED,0.0,-2.0,-1.8005475997925,160.0,160.0,0.0
3307,,ARM_CENTERED,0.0,-2.0,-1.8012993335724,160.0,160.0,0.0
3309,,ARM_CENTERED,0.0,-2.0,-1.8020771741867,160.0,160.0,0.0
3311,,ARM_CENTERED,0.0,-2.0,-1.8028812408447,160.0,160.0,0.0
3313,,ARM_CENTERED,0.0,-2.0,-1.8037118911743,160.0,160.0,0.0
3315,,ARM_CENTERED,0.0,-2.0,-1.8045694828033,160.0,160.0,0.0
3317,,ARM_CENTERED,0.0,-2.0,-1.8054542541504,160.0,160.0,0.0
3319,,ARM_CENTERED,0.0,-2.0,-1.8063662052155,160.0,160.0,0.0
3321,,ARM_CENTERED,0.0,-2.0,-1.8073058128357,160.0,160.0,0.0
