rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1011,0x000D3418,ROTATION_CANDIDATE,0.0002899169921875,60.275615692139,60.275569915771,60.274303436279,60.27396774292,4.57763671875e-05,0.001312255859375,0.00164794921875
1012,0x000D3460,ROTATION_CANDIDATE,0.0002899169921875,160.31439208984,160.31434631348,160.31307983398,160.31274414063,4.57763671875e-05,0.001312255859375,0.00164794921875
1013,0x000D591C,ROTATION_CANDIDATE,0.0002899169921875,167.31439208984,167.31434631348,167.31307983398,167.31274414063,4.57763671875e-05,0.001312255859375,0.00164794921875
1014,0x000F8B14,ROTATION_CANDIDATE,0.0002899169921875,60.275615692139,60.275569915771,60.274303436279,60.27396774292,4.57763671875e-05,0.001312255859375,0.00164794921875
1015,0x000D3DC8,X_CANDIDATE,0.00027000904083252,-0.99926728010178,-0.99997693300247,-0.99951875209808,-0.99907910823822,0.0007096529006958,0.00025147199630737,0.00018817186355591
1016,0x002870A0,Z_CANDIDATE,0.00026704045012593,-0.0007504562381655,-0.00028367037884891,-0.0018061078153551,-0.00042863097041845,0.00046678585931659,0.0010556515771896,0.00032182526774704
1017,0x002870AC,Z_CANDIDATE,0.00026704033371061,-0.00073519721627235,-0.00029892928432673,-0.0017450717277825,-0.00042863097041845,0.00043626793194562,0.0010098745115101,0.0003065662458539
1018,0x002870B0,Z_CANDIDATE,0.00026704010087997,-0.00073519721627235,-0.00029892940074205,-0.0017450712621212,-0.00042863108683378,0.0004362678155303,0.0010098740458488,0.00030656612943858
1019,0x002870BC,Z_CANDIDATE,0.00025940942578018,-0.00071993819437921,-0.00029892788734287,-0.0016840356402099,-0.00043626048136503,0.00042101030703634,0.0009640974458307,0.00028367771301419
1020,0x002870B4,Z_CANDIDATE,0.00025178131181747,-0.00073519721627235,-0.0003065587952733,-0.0017145536839962,-0.00043626048136503,0.00042863842099905,0.00097935646772385,0.00029893673490733
1021,0x002870A8,Z_CANDIDATE,0.00024415261577815,-0.00075045600533485,-0.00029129988979548,-0.0017755897715688,-0.00042863097041845,0.00045915611553937,0.0010251337662339,0.0003218250349164
1022,0x002870A4,Z_CANDIDATE,0.0002441518008709,-0.0007504562381655,-0.00029129977338016,-0.0017755897715688,-0.00042863097041845,0.00045915646478534,0.0010251335334033,0.00032182526774704
1023,0x00105314,ROTATION_CANDIDATE,0.000244140625,60.275615692139,60.275569915771,60.274486541748,60.274196624756,4.57763671875e-05,0.001129150390625,0.0014190673828125
1024,0x00286E34,Z_CANDIDATE,0.00023584556765854,-0.0066141895949841,-0.00079623074270785,-0.01542579382658,-0.0038563897833228,0.0058179588522762,0.008811604231596,0.0027577998116612
1025,0x003B2FCC,X_CANDIDATE,0.0002131313085556,-0.13237211108208,0.13258524239063,0.0,0.0,0.26495735347271,0.13237211108208,0.13237211108208
1026,0x002870C0,Z_CANDIDATE,0.00014427595306188,-0.00071993819437921,-0.00018379488028586,-0.0016840351745486,-0.00043626048136503,0.00053614331409335,0.00096409698016942,0.00028367771301419
1027,0x003B2B34,X_CANDIDATE,0.0001146737486124,0.018841294571757,0.019134450703859,0.019009448587894,0.01885162293911,0.00029315613210201,0.00016815401613712,1.0328367352486e-05
