frame,event,state,enabled,acquisition,memory_remaining,stable_count,lost_count,normalized_x,normalized_y,target_x,target_y,error_x,error_y,screen_x,screen_y,raw_x,raw_y,acquired_signal,aligned_x,aligned_y,aligned,command_x,command_y,error_velocity_x,error_velocity_y
5204,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5205,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5206,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5207,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5208,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5209,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5210,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5211,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5212,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5213,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5214,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5215,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5216,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5217,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5218,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5219,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5220,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5221,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5222,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5223,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5224,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5225,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5226,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5227,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5228,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5229,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5230,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5231,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5232,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5233,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5234,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5235,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5236,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5237,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5238,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5239,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5240,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5241,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5242,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5243,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5244,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5245,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5246,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5247,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5248,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5249,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5250,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5251,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5252,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5253,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5254,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5255,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5256,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5257,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5258,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5259,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5260,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5261,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5262,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5263,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5264,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5265,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5266,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5267,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5268,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5269,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5270,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5271,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5272,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5273,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5274,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5275,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5276,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5277,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
