category,score,address_hex,address_dec,baseline,hit,dead
DEATH_ONLY,100,0x0005F4FA,390394,128,128,0
DEATH_ONLY,100,0x0005F4FB,390395,108,108,0
DEATH_ONLY,100,0x0005F4FD,390397,23,23,0
DEATH_ONLY,100,0x0005F4FE,390398,128,128,0
DEATH_ONLY,100,0x0005F4FF,390399,96,96,0
DEATH_ONLY,100,0x0005F500,390400,231,231,247
DEATH_ONLY,100,0x0005F504,390404,0,0,216
DEATH_ONLY,100,0x0005F505,390405,0,0,1
DEATH_ONLY,100,0x0005F506,390406,0,0,216
DEATH_ONLY,100,0x0005F507,390407,0,0,1
DEATH_ONLY,100,0x0005F508,390408,231,231,246
DEATH_ONLY,100,0x0005F509,390409,0,0,18
DEATH_ONLY,100,0x0005F50B,390411,0,0,108
DEATH_ONLY,100,0x0005F50D,390413,0,0,18
DEATH_ONLY,100,0x0005F50F,390415,0,0,96
DEATH_ONLY,100,0x0005F510,390416,247,247,231
DEATH_ONLY,100,0x0005F514,390420,248,248,0
DEATH_ONLY,100,0x0005F515,390421,1,1,0
DEATH_ONLY,100,0x0005F516,390422,248,248,0
DEATH_ONLY,100,0x0005F517,390423,1,1,0
DEATH_ONLY,100,0x0005F518,390424,246,246,231
DEATH_ONLY,100,0x0005F519,390425,18,18,0
DEATH_ONLY,100,0x0005F51B,390427,132,132,0
DEATH_ONLY,100,0x0005F51D,390429,18,18,0
DEATH_ONLY,100,0x0005F51F,390431,128,128,0
DEATH_ONLY,100,0x0005F520,390432,231,231,247
DEATH_ONLY,100,0x0005F525,390437,0,0,37
DEATH_ONLY,100,0x0005F527,390439,0,0,37
DEATH_ONLY,100,0x0005F528,390440,247,247,246
DEATH_ONLY,100,0x0005F529,390441,0,0,29
DEATH_ONLY,100,0x0005F52A,390442,0,0,64
DEATH_ONLY,100,0x0005F52B,390443,0,0,108
DEATH_ONLY,100,0x0005F52D,390445,1,1,29
DEATH_ONLY,100,0x0005F52E,390446,0,0,64
DEATH_ONLY,100,0x0005F52F,390447,1,1,96
DEATH_ONLY,100,0x0005F530,390448,246,246,231
DEATH_ONLY,100,0x0005F531,390449,12,12,0
DEATH_ONLY,100,0x0005F532,390450,128,128,0
DEATH_ONLY,100,0x0005F533,390451,84,84,0
DEATH_ONLY,100,0x0005F535,390453,12,12,0
DEATH_ONLY,100,0x0005F536,390454,128,128,0
DEATH_ONLY,100,0x0005F537,390455,72,72,0
DEATH_ONLY,100,0x0005F538,390456,246,246,231
DEATH_ONLY,100,0x0005F539,390457,17,17,0
DEATH_ONLY,100,0x0005F53A,390458,192,192,0
DEATH_ONLY,100,0x0005F53B,390459,84,84,0
DEATH_ONLY,100,0x0005F53D,390461,17,17,0
DEATH_ONLY,100,0x0005F53E,390462,192,192,0
DEATH_ONLY,100,0x0005F53F,390463,72,72,0
DEATH_ONLY,100,0x0005F540,390464,246,246,247
DEATH_ONLY,100,0x0005F541,390465,23,23,0
DEATH_ONLY,100,0x0005F542,390466,64,64,0
DEATH_ONLY,100,0x0005F543,390467,84,84,0
DEATH_ONLY,100,0x0005F544,390468,0,0,248
DEATH_ONLY,100,0x0005F545,390469,23,23,1
DEATH_ONLY,100,0x0005F546,390470,64,64,248
DEATH_ONLY,100,0x0005F547,390471,72,72,1
DEATH_ONLY,100,0x0005F549,390473,28,28,18
DEATH_ONLY,100,0x0005F54A,390474,192,192,0
DEATH_ONLY,100,0x0005F54B,390475,84,84,132
DEATH_ONLY,100,0x0005F54D,390477,28,28,18
DEATH_ONLY,100,0x0005F54E,390478,192,192,0
DEATH_ONLY,100,0x0005F54F,390479,72,72,128
DEATH_ONLY,100,0x0005F550,390480,246,246,231
DEATH_ONLY,100,0x0005F551,390481,34,34,0
DEATH_ONLY,100,0x0005F552,390482,64,64,0
DEATH_ONLY,100,0x0005F553,390483,84,84,0
DEATH_ONLY,100,0x0005F555,390485,34,34,0
DEATH_ONLY,100,0x0005F556,390486,64,64,0
DEATH_ONLY,100,0x0005F557,390487,72,72,0
DEATH_ONLY,100,0x0005F558,390488,246,246,247
DEATH_ONLY,100,0x0005F559,390489,39,39,0
DEATH_ONLY,100,0x0005F55A,390490,192,192,0
DEATH_ONLY,100,0x0005F55B,390491,84,84,0
DEATH_ONLY,100,0x0005F55D,390493,39,39,1
DEATH_ONLY,100,0x0005F55E,390494,192,192,0
DEATH_ONLY,100,0x0005F55F,390495,72,72,1
DEATH_ONLY,100,0x0005F561,390497,45,45,12
DEATH_ONLY,100,0x0005F562,390498,64,64,128
DEATH_ONLY,100,0x0005F565,390501,45,45,12
DEATH_ONLY,100,0x0005F566,390502,64,64,128
DEATH_ONLY,100,0x0005F569,390505,50,50,17
DEATH_ONLY,100,0x0005F56D,390509,50,50,17
DEATH_ONLY,100,0x0005F571,390513,56,56,23
DEATH_ONLY,100,0x0005F575,390517,56,56,23
DEATH_ONLY,100,0x0005F579,390521,61,61,28
DEATH_ONLY,100,0x0005F57D,390525,61,61,28
DEATH_ONLY,100,0x0005F581,390529,67,67,34
DEATH_ONLY,100,0x0005F585,390533,67,67,34
DEATH_ONLY,100,0x0005F589,390537,12,12,39
DEATH_ONLY,100,0x0005F58A,390538,128,128,192
DEATH_ONLY,100,0x0005F58B,390539,112,112,84
DEATH_ONLY,100,0x0005F58D,390541,12,12,39
DEATH_ONLY,100,0x0005F58E,390542,128,128,192
DEATH_ONLY,100,0x0005F58F,390543,100,100,72
DEATH_ONLY,100,0x0005F591,390545,17,17,45
DEATH_ONLY,100,0x0005F592,390546,192,192,64
DEATH_ONLY,100,0x0005F593,390547,112,112,84
DEATH_ONLY,100,0x0005F595,390549,17,17,45
DEATH_ONLY,100,0x0005F596,390550,192,192,64
DEATH_ONLY,100,0x0005F597,390551,100,100,72
DEATH_ONLY,100,0x0005F599,390553,23,23,50
DEATH_ONLY,100,0x0005F59A,390554,64,64,192
DEATH_ONLY,100,0x0005F59B,390555,112,112,84
DEATH_ONLY,100,0x0005F59D,390557,23,23,50
DEATH_ONLY,100,0x0005F59E,390558,64,64,192
DEATH_ONLY,100,0x0005F59F,390559,100,100,72
DEATH_ONLY,100,0x0005F5A1,390561,28,28,56
DEATH_ONLY,100,0x0005F5A2,390562,192,192,64
DEATH_ONLY,100,0x0005F5A3,390563,112,112,84
DEATH_ONLY,100,0x0005F5A5,390565,28,28,56
DEATH_ONLY,100,0x0005F5A6,390566,192,192,64
DEATH_ONLY,100,0x0005F5A7,390567,100,100,72
DEATH_ONLY,100,0x0005F5A9,390569,34,34,61
DEATH_ONLY,100,0x0005F5AA,390570,64,64,192
DEATH_ONLY,100,0x0005F5AB,390571,112,112,84
DEATH_ONLY,100,0x0005F5AD,390573,34,34,61
DEATH_ONLY,100,0x0005F5AE,390574,64,64,192
DEATH_ONLY,100,0x0005F5AF,390575,100,100,72
DEATH_ONLY,100,0x0005F5B1,390577,39,39,67
DEATH_ONLY,100,0x0005F5B2,390578,192,192,64
DEATH_ONLY,100,0x0005F5B3,390579,112,112,84
DEATH_ONLY,100,0x0005F5B5,390581,39,39,67
DEATH_ONLY,100,0x0005F5B6,390582,192,192,64
DEATH_ONLY,100,0x0005F5B7,390583,100,100,72
DEATH_ONLY,100,0x0005F5B9,390585,45,45,12
DEATH_ONLY,100,0x0005F5BA,390586,64,64,128
DEATH_ONLY,100,0x0005F5BD,390589,45,45,12
DEATH_ONLY,100,0x0005F5BE,390590,64,64,128
DEATH_ONLY,100,0x0005F5C1,390593,50,50,17
DEATH_ONLY,100,0x0005F5C5,390597,50,50,17
DEATH_ONLY,100,0x0005F5C9,390601,56,56,23
DEATH_ONLY,100,0x0005F5CD,390605,56,56,23
DEATH_ONLY,100,0x0005F5D1,390609,61,61,28
DEATH_ONLY,100,0x0005F5D5,390613,61,61,28
DEATH_ONLY,100,0x0005F5D9,390617,67,67,34
DEATH_ONLY,100,0x0005F5DD,390621,67,67,34
DEATH_ONLY,100,0x0005F5E1,390625,12,12,39
DEATH_ONLY,100,0x0005F5E2,390626,128,128,192
DEATH_ONLY,100,0x0005F5E3,390627,140,140,112
DEATH_ONLY,100,0x0005F5E5,390629,12,12,39
DEATH_ONLY,100,0x0005F5E6,390630,128,128,192
DEATH_ONLY,100,0x0005F5E7,390631,128,128,100
DEATH_ONLY,100,0x0005F5E9,390633,17,17,45
DEATH_ONLY,100,0x0005F5EA,390634,192,192,64
DEATH_ONLY,100,0x0005F5EB,390635,140,140,112
DEATH_ONLY,100,0x0005F5ED,390637,17,17,45
DEATH_ONLY,100,0x0005F5EE,390638,192,192,64
DEATH_ONLY,100,0x0005F5EF,390639,128,128,100
DEATH_ONLY,100,0x0005F5F1,390641,23,23,50
DEATH_ONLY,100,0x0005F5F2,390642,64,64,192
DEATH_ONLY,100,0x0005F5F3,390643,140,140,112
DEATH_ONLY,100,0x0005F5F5,390645,23,23,50
DEATH_ONLY,100,0x0005F5F6,390646,64,64,192
DEATH_ONLY,100,0x0005F5F7,390647,128,128,100
DEATH_ONLY,100,0x0005F5F9,390649,28,28,56
DEATH_ONLY,100,0x0005F5FA,390650,192,192,64
DEATH_ONLY,100,0x0005F5FB,390651,140,140,112
DEATH_ONLY,100,0x0005F5FD,390653,28,28,56
DEATH_ONLY,100,0x0005F5FE,390654,192,192,64
DEATH_ONLY,100,0x0005F5FF,390655,128,128,100
DEATH_ONLY,100,0x0005F601,390657,34,34,61
DEATH_ONLY,100,0x0005F602,390658,64,64,192
DEATH_ONLY,100,0x0005F603,390659,140,140,112
DEATH_ONLY,100,0x0005F605,390661,34,34,61
DEATH_ONLY,100,0x0005F606,390662,64,64,192
DEATH_ONLY,100,0x0005F607,390663,128,128,100
DEATH_ONLY,100,0x0005F609,390665,39,39,67
DEATH_ONLY,100,0x0005F60A,390666,192,192,64
DEATH_ONLY,100,0x0005F60B,390667,140,140,112
DEATH_ONLY,100,0x0005F60D,390669,39,39,67
DEATH_ONLY,100,0x0005F60E,390670,192,192,64
DEATH_ONLY,100,0x0005F60F,390671,128,128,100
DEATH_ONLY,100,0x0005F611,390673,45,45,12
DEATH_ONLY,100,0x0005F612,390674,64,64,128
DEATH_ONLY,100,0x0005F615,390677,45,45,12
DEATH_ONLY,100,0x0005F616,390678,64,64,128
DEATH_ONLY,100,0x0005F619,390681,50,50,17
DEATH_ONLY,100,0x0005F61D,390685,50,50,17
DEATH_ONLY,100,0x0005F621,390689,56,56,23
DEATH_ONLY,100,0x0005F625,390693,56,56,23
DEATH_ONLY,100,0x0005F629,390697,61,61,28
DEATH_ONLY,100,0x0005F62D,390701,61,61,28
DEATH_ONLY,100,0x0005F631,390705,67,67,34
DEATH_ONLY,100,0x0005F635,390709,67,67,34
DEATH_ONLY,100,0x0005F638,390712,231,231,246
DEATH_ONLY,100,0x0005F639,390713,0,0,39
DEATH_ONLY,100,0x0005F63A,390714,0,0,192
DEATH_ONLY,100,0x0005F63B,390715,0,0,140
DEATH_ONLY,100,0x0005F63D,390717,0,0,39
DEATH_ONLY,100,0x0005F63E,390718,0,0,192
DEATH_ONLY,100,0x0005F63F,390719,0,0,128
DEATH_ONLY,100,0x0005F640,390720,184,184,246
DEATH_ONLY,100,0x0005F641,390721,0,0,45
DEATH_ONLY,100,0x0005F642,390722,0,0,64
DEATH_ONLY,100,0x0005F643,390723,0,0,140
DEATH_ONLY,100,0x0005F645,390725,0,0,45
DEATH_ONLY,100,0x0005F646,390726,0,0,64
DEATH_ONLY,100,0x0005F647,390727,0,0,128
DEATH_ONLY,100,0x0005F678,390776,231,231,246
DEATH_ONLY,100,0x0005F679,390777,0,0,50
DEATH_ONLY,100,0x0005F67A,390778,0,0,192
DEATH_ONLY,100,0x0005F67B,390779,0,0,140
DEATH_ONLY,100,0x0005F67D,390781,0,0,50
DEATH_ONLY,100,0x0005F67E,390782,0,0,192
DEATH_ONLY,100,0x0005F67F,390783,0,0,128
DEATH_ONLY,100,0x0005F680,390784,184,184,246
DEATH_ONLY,100,0x0005F681,390785,0,0,56
DEATH_ONLY,100,0x0005F682,390786,0,0,64
DEATH_ONLY,100,0x0005F683,390787,0,0,140
DEATH_ONLY,100,0x0005F685,390789,0,0,56
DEATH_ONLY,100,0x0005F686,390790,0,0,64
DEATH_ONLY,100,0x0005F687,390791,0,0,128
DEATH_ONLY,100,0x0005FC90,392336,247,247,231
DEATH_ONLY,100,0x0005FC94,392340,248,248,0
DEATH_ONLY,100,0x0005FC95,392341,1,1,0
