GoldenEyeDiagnostic 0.0.3
CSV: .\demonstrations\session-20260727-234451-frames.csv
Frames uteis: 1003
replay_index,emu_frame,source_relative_frame,event
215,3047,486,
216,3048,487,
217,3049,488,
218,3050,489,
219,3051,490,
220,3052,491,
221,3053,492,
222,3054,493,
223,3055,494,
224,3056,495,
225,3057,496,
226,3058,497,
227,3059,498,
228,3060,499,
229,3061,500,
230,3062,501,
231,3063,502,
232,3064,503,
233,3065,504,
234,3066,505,
235,3067,506,
236,3068,507,
237,3069,508,
238,3070,509,
239,3071,510,
240,3072,511,
241,3073,512,
242,3074,513,
243,3075,514,
244,3076,515,
245,3077,516,
246,3078,517,
247,3079,518,
248,3080,519,
249,3081,520,
250,3082,521,
251,3083,522,
252,3084,523,
253,3085,524,
254,3086,525,
255,3087,526,
256,3088,527,
257,3089,528,
258,3090,529,
259,3091,530,
260,3092,531,
261,3093,532,
262,3094,533,
263,3095,534,
264,3096,535,
265,3097,536,
266,3098,537,
267,3099,538,
268,3100,539,
269,3101,540,
270,3102,541,
271,3103,542,
272,3104,543,
273,3105,544,
274,3106,545,
275,3107,546,
276,3108,547,
277,3109,548,
278,3110,549,
279,3111,550,
280,3112,551,
281,3113,552,
282,3114,553,
283,3115,554,
284,3116,555,
285,3117,556,
286,3118,557,
287,3119,558,
288,3120,559,
289,3121,560,
290,3122,561,
291,3123,562,
292,3124,563,
293,3125,564,
294,3126,565,
295,3127,566,
296,3128,567,
297,3129,568,
298,3130,569,
299,3131,570,
300,3132,571,
301,3133,572,
302,3134,573,
303,3135,574,
304,3136,575,
305,3137,576,
306,3138,577,
307,3139,578,
308,3140,579,
309,3141,580,
310,3142,581,
311,3143,582,
312,3144,583,
313,3145,584,
314,3146,585,
315,3147,586,
316,3148,587,
317,3149,588,
318,3150,589,
319,3151,590,
320,3152,591,
321,3153,592,
322,3154,593,
323,3155,594,
324,3156,595,
325,3157,596,
326,3158,597,
327,3159,598,
328,3160,599,
329,3161,600,
330,3162,601,
331,3163,602,
332,3164,603,
333,3165,604,
334,3166,605,
335,3167,606,
336,3168,607,
337,3169,608,
338,3170,609,
339,3171,610,SOLDIER_VISIBLE
340,3172,611,
341,3173,612,
342,3174,613,
343,3175,614,
344,3176,615,
345,3177,616,
346,3178,617,
347,3179,618,
348,3180,619,
349,3181,620,
350,3182,621,
351,3183,622,
352,3184,623,
353,3185,624,
354,3186,625,
355,3187,626,
356,3188,627,
357,3189,628,
358,3190,629,
359,3191,630,
360,3192,631,
361,3193,632,
362,3194,633,
363,3195,634,
364,3196,635,
365,3197,636,
366,3198,637,
367,3199,638,
368,3200,639,
369,3201,640,
370,3202,641,
371,3203,642,
372,3204,643,
373,3205,644,
374,3206,645,
375,3207,646,
376,3208,647,
377,3209,648,
378,3210,649,
379,3211,650,
380,3212,651,
381,3213,652,
382,3214,653,
383,3215,654,
384,3216,655,
385,3217,656,
386,3218,657,
387,3219,658,
388,3220,659,
