GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 7668
Candidates exported: 7668
CSV: .\output\first-soldier-vertical-candidates-20260729-202202.csv

Snapshots:
CENTER | frame=5043
AUTO_AIM_DOWN | frame=5784
TARGET_HEAD | frame=3909
TARGET_UPPER_BODY | frame=6459
TARGET_LOWER_BODY | frame=6801
TARGET_LOST | frame=7290

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
47 | region=ARM_NEAR_X | address=0x000D3C68 | type=U32_BE | kind=BODY_PROGRESSION | score=39546857748.5 | center=1056593027 | down=3195247321 | head=1058636870 | upper=3178043101 | lower=3194440187 | lost=1049244840 | monotonic=true
48 | region=ARM_CORE | address=0x000D3C44 | type=U32_BE | kind=BODY_PROGRESSION | score=39535478378.0 | center=1019733261 | down=3158499914 | head=1022716287 | upper=3141381095 | lower=3157854207 | lost=1012736272 | monotonic=true
49 | region=ARM_NEAR_X | address=0x000D3C44 | type=U32_BE | kind=BODY_PROGRESSION | score=39535169681.5 | center=1019757471 | down=3158499914 | head=1022730356 | upper=3141381095 | lower=3157854207 | lost=1012736272 | monotonic=true
50 | region=ARM_CORE | address=0x000D3DC0 | type=U32_BE | kind=BODY_PROGRESSION | score=39531697235.5 | center=1019644148 | down=3185360558 | head=1022774613 | upper=3142267386 | lower=3157847148 | lost=1012701424 | monotonic=true
51 | region=ARM_NEAR_X | address=0x000D3DC0 | type=U32_BE | kind=BODY_PROGRESSION | score=39531367635.5 | center=1019666276 | down=3185360558 | head=1022790037 | upper=3142267386 | lower=3157847148 | lost=1012701424 | monotonic=true
52 | region=ARM_CORE | address=0x000D38CC | type=U32_BE | kind=BODY_PROGRESSION | score=39504609771.0 | center=1059419003 | down=3180145009 | head=1053401470 | upper=1060706638 | lower=3187743284 | lost=1060734399 | monotonic=true
53 | region=ARM_CORE | address=0x000D38A8 | type=U32_BE | kind=BODY_PROGRESSION | score=39493404292.5 | center=1023695972 | down=3143752684 | head=1017204225 | upper=1024726081 | lower=3150876758 | lost=1024748290 | monotonic=true
54 | region=ARM_CORE | address=0x000D3C3C | type=U32_BE | kind=BODY_PROGRESSION | score=39231305204.0 | center=1048190465 | down=3196225226 | head=1043916385 | upper=1049212908 | lower=3164390975 | lost=1041507575 | monotonic=true
55 | region=ARM_CORE | address=0x000D3DD4 | type=U32_BE | kind=BODY_PROGRESSION | score=39231305204.0 | center=1048190465 | down=3213539566 | head=1043916385 | upper=1049212908 | lower=3164390975 | lost=1041507575 | monotonic=true
56 | region=ARM_NEAR_X | address=0x000D3C3C | type=U32_BE | kind=BODY_PROGRESSION | score=39225774481.0 | center=1048540839 | down=3196225226 | head=1044141035 | upper=1049212908 | lower=3164390975 | lost=1041507575 | monotonic=true
