rank,region,address_hex,data_type,kind,score,center,auto_aim_down,target_head,target_upper_body,target_lower_body,target_lost,head_upper_delta,upper_lower_delta,head_lower_delta,down_delta,lost_delta,ascending,descending,monotonic,progression_score,down_extension_score,screen_like_score,normalized_score,return_to_center_score
6741,ARM_CORE,0x000D3A68,U16_BE,AUTO_AIM_DOWN,32,18077,18069,18073,18071,18072,18074,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6742,ARM_CORE,0x000D3A69,U8,AUTO_AIM_DOWN,32,157,149,153,151,152,154,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6743,ARM_CORE,0x000D3AA8,U16_BE,AUTO_AIM_DOWN,32,18077,18069,18073,18071,18072,18074,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6744,ARM_CORE,0x000D3AA9,U8,AUTO_AIM_DOWN,32,157,149,153,151,152,154,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6745,ARM_NEAR_X,0x000D3E10,U16_BE,AUTO_AIM_DOWN,32,18077,18069,18073,18071,18072,18074,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6746,ARM_CORE,0x000D3E10,U16_BE,AUTO_AIM_DOWN,32,18077,18069,18073,18071,18072,18074,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6747,ARM_NEAR_X,0x000D3E11,U8,AUTO_AIM_DOWN,32,157,149,153,151,152,154,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6748,ARM_CORE,0x000D3E11,U8,AUTO_AIM_DOWN,32,157,149,153,151,152,154,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6749,ARM_CORE,0x000D3E50,U16_BE,AUTO_AIM_DOWN,32,18077,18069,18073,18071,18072,18074,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6750,ARM_NEAR_X,0x000D3E50,U16_BE,AUTO_AIM_DOWN,32,18077,18069,18073,18071,18072,18074,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6751,ARM_NEAR_X,0x000D3E51,U8,AUTO_AIM_DOWN,32,157,149,153,151,152,154,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6752,ARM_CORE,0x000D3E51,U8,AUTO_AIM_DOWN,32,157,149,153,151,152,154,-2,1,-1,-8,-3,false,false,false,12.5,32,0,0,0
6753,ARM_CORE,0x000D45E9,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6754,ARM_CORE,0x000D4706,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6755,ARM_CORE,0x000D4716,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6756,ARM_CORE,0x000D4967,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6757,ARM_CORE,0x000D497F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6758,ARM_CORE,0x000D4997,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6759,ARM_CORE,0x000D49AF,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6760,ARM_CORE,0x000D49C7,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6761,ARM_CORE,0x000D49DF,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6762,ARM_CORE,0x000D49EF,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6763,ARM_CORE,0x000D49FF,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6764,ARM_CORE,0x000D4A17,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6765,ARM_CORE,0x000D4A27,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6766,ARM_CORE,0x000D4A37,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6767,ARM_CORE,0x000D4A4F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6768,ARM_CORE,0x000D4A5F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6769,ARM_CORE,0x000D4A6F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6770,ARM_CORE,0x000D5097,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6771,ARM_CORE,0x000D50C7,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6772,ARM_CORE,0x000D50DF,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6773,ARM_CORE,0x000D510F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6774,ARM_CORE,0x000D511F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6775,ARM_CORE,0x000D5147,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6776,ARM_CORE,0x000D5157,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6777,ARM_CORE,0x000D517F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6778,ARM_CORE,0x000D518F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6779,ARM_CORE,0x000D519F,U8,AUTO_AIM_DOWN,32,0,16,16,16,16,16,0,0,0,16,16,false,false,false,-32.0,32,0,0,-96
6780,ARM_CORE,0x000D5DD5,U8,AUTO_AIM_DOWN,32,16,0,0,0,0,0,0,0,0,-16,-16,false,false,false,-32.0,32,0,0,-96
6781,ARM_CORE,0x000D5DFA,U8,AUTO_AIM_DOWN,32,16,0,0,0,0,0,0,0,0,-16,-16,false,false,false,-32.0,32,0,0,-96
6782,ARM_CORE,0x000D5E25,U8,AUTO_AIM_DOWN,32,16,0,0,0,0,0,0,0,0,-16,-16,false,false,false,-32.0,32,0,0,-96
6783,ARM_CORE,0x000D5E4A,U8,AUTO_AIM_DOWN,32,16,0,0,0,0,0,0,0,0,-16,-16,false,false,false,-32.0,32,0,0,-96
6784,ARM_CORE,0x000D5E75,U8,AUTO_AIM_DOWN,32,16,0,0,0,0,0,0,0,0,-16,-16,false,false,false,-32.0,32,0,0,-96
6785,ARM_CORE,0x000D5E9A,U8,AUTO_AIM_DOWN,32,16,0,0,0,0,0,0,0,0,-16,-16,false,false,false,-32.0,32,0,0,-96
6786,ARM_CORE,0x000D5EB2,U8,AUTO_AIM_DOWN,32,20,16,0,3,0,12,3,-3,0,-4,-8,false,false,false,14.0,32,0,0,-44
6787,ARM_CORE,0x000D39A0,U16_BE,AUTO_AIM_DOWN,30,50298,50293,50298,50298,50298,50298,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6788,ARM_CORE,0x000D39A1,U8,AUTO_AIM_DOWN,30,122,117,122,122,122,122,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6789,ARM_CORE,0x000D3AB8,U16_BE,AUTO_AIM_DOWN,30,18077,18069,18073,18071,18072,18073,-2,1,-1,-8,-4,false,false,false,10.5,30,0,0,-8
6790,ARM_CORE,0x000D3AB9,U8,AUTO_AIM_DOWN,30,157,149,153,151,152,153,-2,1,-1,-8,-4,false,false,false,10.5,30,0,0,-8
6791,ARM_CORE,0x000D3D48,U16_BE,AUTO_AIM_DOWN,30,50298,50293,50298,50298,50298,50298,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6792,ARM_NEAR_X,0x000D3D48,U16_BE,AUTO_AIM_DOWN,30,50298,50293,50298,50298,50298,50298,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6793,ARM_CORE,0x000D3D49,U8,AUTO_AIM_DOWN,30,122,117,122,122,122,122,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6794,ARM_NEAR_X,0x000D3D49,U8,AUTO_AIM_DOWN,30,122,117,122,122,122,122,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6795,ARM_CORE,0x000D3DB4,U16_BE,AUTO_AIM_DOWN,30,16255,16250,16255,16255,16255,16255,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6796,ARM_NEAR_X,0x000D3DB4,U16_BE,AUTO_AIM_DOWN,30,16255,16250,16255,16255,16255,16255,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6797,ARM_NEAR_X,0x000D3DB5,U8,AUTO_AIM_DOWN,30,127,122,127,127,127,127,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6798,ARM_CORE,0x000D3DB5,U8,AUTO_AIM_DOWN,30,127,122,127,127,127,127,0,0,0,-5,0,false,false,false,0.0,30,0,0,10
6799,ARM_CORE,0x000D3E14,U16_BE,AUTO_AIM_DOWN,30,17010,17004,17009,17010,17008,17009,1,-2,-1,-6,-1,false,false,false,16.5,30,0,0,12
6800,ARM_NEAR_X,0x000D3E14,U16_BE,AUTO_AIM_DOWN,30,17010,17004,17009,17010,17008,17009,1,-2,-1,-6,-1,false,false,false,16.5,30,0,0,12
6801,ARM_NEAR_X,0x000D3E15,U8,AUTO_AIM_DOWN,30,114,108,113,114,112,113,1,-2,-1,-6,-1,false,false,false,16.5,30,0,0,12
6802,ARM_CORE,0x000D3E15,U8,AUTO_AIM_DOWN,30,114,108,113,114,112,113,1,-2,-1,-6,-1,false,false,false,16.5,30,0,0,12
6803,ARM_CORE,0x000D3E54,U16_BE,AUTO_AIM_DOWN,30,17010,17004,17009,17010,17008,17009,1,-2,-1,-6,-1,false,false,false,16.5,30,0,0,12
