GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 8400
Candidates exported: 8400
CSV: .\output\first-soldier-vertical-candidates-20260729-201716.csv

Snapshots:
CENTER | frame=5399
AUTO_AIM_DOWN | frame=6725
TARGET_HEAD | frame=8534
TARGET_UPPER_BODY | frame=4213
TARGET_LOWER_BODY | frame=5825
TARGET_LOST | frame=4693

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
49 | region=ARM_CORE | address=0x000D3DE4 | type=U32_BE | kind=BODY_PROGRESSION | score=35507717849.0 | center=1023633420 | down=1026412508 | head=1025127322 | upper=3171609586 | lower=3175402052 | lost=3165505197 | monotonic=true
50 | region=ARM_NEAR_X | address=0x000D3DE4 | type=U32_BE | kind=BODY_PROGRESSION | score=35506184371.0 | center=1023534636 | down=1026412508 | head=1025127322 | upper=3171609586 | lower=3175402052 | lost=3166173152 | monotonic=true
51 | region=ARM_CORE | address=0x000D38C0 | type=U32_BE | kind=BODY_PROGRESSION | score=35450149609.5 | center=3197243753 | down=1046047464 | head=1059024504 | upper=3184603024 | lower=3203599381 | lost=1056505660 | monotonic=true
52 | region=ARM_CORE | address=0x000D5CE8 | type=U32_BE | kind=BODY_PROGRESSION | score=35447475098.0 | center=58982416 | down=58982416 | head=58982416 | upper=58982416 | lower=4229273604 | lost=58982416 | monotonic=false
53 | region=ARM_CORE | address=0x000D3DA4 | type=U32_BE | kind=BODY_PROGRESSION | score=35447125849.0 | center=1020802987 | down=1020468120 | head=1026000190 | upper=3168247338 | lower=3173071732 | lost=3164889167 | monotonic=true
54 | region=ARM_NEAR_X | address=0x000D3DA4 | type=U32_BE | kind=BODY_PROGRESSION | score=35445547789.0 | center=1020598284 | down=1020468120 | head=1026000190 | upper=3168247338 | lower=3173071732 | lost=3165473494 | monotonic=true
55 | region=ARM_CORE | address=0x000D3DB0 | type=U32_BE | kind=BODY_PROGRESSION | score=35438866969.0 | center=1020918867 | down=3171082565 | head=1026397468 | upper=3168342783 | lower=3172995896 | lost=3164501261 | monotonic=true
56 | region=ARM_NEAR_X | address=0x000D3DB0 | type=U32_BE | kind=BODY_PROGRESSION | score=35437266187.0 | center=1020704658 | down=3171082565 | head=1026397468 | upper=3168342783 | lower=3172995896 | lost=3165087443 | monotonic=true
57 | region=ARM_CORE | address=0x000D389C | type=U32_BE | kind=BODY_PROGRESSION | score=35427856764.0 | center=3161044344 | down=1009643299 | head=1023350570 | upper=3148306755 | lower=3166859284 | lost=1019687578 | monotonic=true
58 | region=ARM_CORE | address=0x000D5CE0 | type=U32_BE | kind=BODY_PROGRESSION | score=35290611576.0 | center=59244560 | down=59244560 | head=59244560 | upper=59244560 | lower=4211081216 | lost=59244560 | monotonic=false
