frame,event,mode,gate_enabled,armed,stable_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,camera_reference_loaded,camera_max_delta,arm_ready,camera_ready,gate_ready,blocker
4820,SAMPLE,ARM_ONLY,true,true,0,80,171.66969299316,171.66969299316,60.125453948975,-0.061144351959229,false,inf,false,false,false,ARM
4830,SAMPLE,ARM_ONLY,true,true,0,90,171.17501831055,171.17501831055,57.550399780273,-0.058556079864502,false,inf,false,false,false,ARM
4840,SAMPLE,ARM_ONLY,true,true,0,100,170.32466125488,170.32466125488,53.172748565674,-0.054097652435303,false,inf,false,false,false,ARM
4850,SAMPLE,ARM_ONLY,true,true,0,110,169.44630432129,169.44630432129,48.672542572021,-0.049495697021484,false,inf,false,false,false,ARM
4860,SAMPLE,ARM_ONLY,true,true,0,120,169.18017578125,169.18017578125,47.20650100708,-0.048105239868164,false,inf,false,false,false,ARM
4870,SAMPLE,ARM_ONLY,true,true,0,130,169.18537902832,169.18537902832,47.173679351807,-0.048153400421143,false,inf,false,false,false,ARM
4880,SAMPLE,ARM_ONLY,true,true,0,140,163.49806213379,163.49806213379,18.111721038818,-0.018288135528564,false,inf,false,false,false,ARM
4890,SAMPLE,ARM_ONLY,true,true,0,6,148.68943786621,148.68943786621,-58.739547729492,0.059226989746094,false,inf,false,false,false,ARM
4900,SAMPLE,ARM_ONLY,true,true,0,16,136.826171875,136.826171875,-119.93095397949,0.12101852893829,false,inf,false,false,false,ARM
4910,SAMPLE,ARM_ONLY,true,true,0,26,130.89053344727,130.89053344727,-150.05699157715,0.15155482292175,false,inf,false,false,false,ARM
4920,SAMPLE,ARM_ONLY,true,true,0,36,127.61094665527,127.61094665527,-166.50924682617,0.16833293437958,false,inf,false,false,false,ARM
4930,SAMPLE,ARM_ONLY,true,true,0,46,125.8352355957,125.8352355957,-175.37687683105,0.17739319801331,false,inf,false,false,false,ARM
4940,SAMPLE,ARM_ONLY,true,true,0,56,123.98100280762,123.98100280762,-184.37380981445,0.18678903579712,false,inf,false,false,false,ARM
4950,SAMPLE,ARM_ONLY,true,true,0,66,122.33596801758,122.33596801758,-192.03744506836,0.19513010978699,false,inf,false,false,false,ARM
4960,SAMPLE,ARM_ONLY,true,true,0,76,119.4278717041,119.4278717041,-206.81674194336,0.20975112915039,false,inf,false,false,false,ARM
4970,SAMPLE,ARM_ONLY,true,true,0,86,118.13954162598,118.13954162598,-213.73245239258,0.21622276306152,false,inf,false,false,false,ARM
4980,SAMPLE,ARM_ONLY,true,true,0,96,116.77802276611,116.77802276611,-220.79679870605,0.22302973270416,false,inf,false,false,false,ARM
4990,SAMPLE,ARM_ONLY,true,true,0,106,115.19625091553,115.19625091553,-228.69178771973,0.23093950748444,false,inf,false,false,false,ARM
5000,SAMPLE,ARM_ONLY,true,true,0,116,113.02493286133,113.02493286133,-239.33285522461,0.24167764186859,false,inf,false,false,false,ARM
5010,SAMPLE,ARM_ONLY,true,true,0,126,128.40602111816,128.40602111816,-163.59005737305,0.16430628299713,false,inf,false,false,false,ARM
5020,SAMPLE,ARM_ONLY,true,true,0,136,154.82885742188,154.82885742188,-27.131460189819,0.036648392677307,false,inf,false,false,false,ARM
5027,AUTO_SHOT,ARM_ONLY,true,false,0,0,157.56735229492,157.56735229492,-12.767046928406,0.012727499008179,false,inf,true,false,true,NONE
5030,SAMPLE,ARM_ONLY,true,false,3,0,158.45269775391,158.45269775391,-8.12096118927,0.0080775022506714,false,inf,true,false,true,NONE
5040,SAMPLE,ARM_ONLY,true,false,0,3,142.27743530273,142.27743530273,-92.619499206543,0.092687487602234,false,inf,false,false,false,ARM
5049,REARMED,ARM_ONLY,true,true,0,12,167.56610107422,167.56610107422,39.665077209473,-0.039668560028076,false,inf,false,false,false,ARM
5050,SAMPLE,ARM_ONLY,true,true,0,13,167.56610107422,167.56610107422,39.665077209473,-0.039668560028076,false,inf,false,false,false,ARM
5060,SAMPLE,ARM_ONLY,true,true,0,23,185.13697814941,185.13697814941,130.71475219727,-0.13113355636597,false,inf,false,false,false,ARM
5070,SAMPLE,ARM_ONLY,true,true,0,33,188.54150390625,188.54150390625,147.99821472168,-0.14867830276489,false,inf,false,false,false,ARM
5080,SAMPLE,ARM_ONLY,true,true,0,43,187.84733581543,187.84733581543,144.35606384277,-0.1450834274292,false,inf,false,false,false,ARM
5090,SAMPLE,ARM_ONLY,true,true,0,53,185.84020996094,185.84020996094,133.79846191406,-0.13477659225464,false,inf,false,false,false,ARM
5100,SAMPLE,ARM_ONLY,true,true,0,63,183.49755859375,183.49755859375,120.82450866699,-0.1226487159729,false,inf,false,false,false,ARM
5110,SAMPLE,ARM_ONLY,true,true,0,73,181.95318603516,181.95318603516,112.12797546387,-0.11469078063965,false,inf,false,false,false,ARM
5120,SAMPLE,ARM_ONLY,true,true,0,83,181.92100524902,181.92100524902,111.71376037598,-0.11454725265503,false,inf,false,false,false,ARM
5130,SAMPLE,ARM_ONLY,true,true,0,93,183.39459228516,183.39459228516,119.26171112061,-0.12216901779175,false,inf,false,false,false,ARM
5140,SAMPLE,ARM_ONLY,true,true,0,103,184.07881164551,184.07881164551,122.78411102295,-0.1256685256958,false,inf,false,false,false,ARM
5150,SAMPLE,ARM_ONLY,true,true,0,113,184.47067260742,184.47067260742,124.80191040039,-0.12772989273071,false,inf,false,false,false,ARM
5160,SAMPLE,ARM_ONLY,true,true,0,123,184.97015380859,184.97015380859,127.34754180908,-0.12993478775024,false,inf,false,false,false,ARM
5170,SAMPLE,ARM_ONLY,true,true,0,133,185.6095123291,185.6095123291,130.57791137695,-0.13281106948853,false,inf,false,false,false,ARM
5180,SAMPLE,ARM_ONLY,true,true,0,143,186.20028686523,186.20028686523,133.54290771484,-0.13659811019897,false,inf,false,false,false,ARM
5190,SAMPLE,ARM_ONLY,true,true,0,153,186.951171875,186.951171875,137.61827087402,-0.14048147201538,false,inf,false,false,false,ARM
5200,SAMPLE,ARM_ONLY,true,true,0,163,186.32113647461,186.32113647461,135.55947875977,-0.13726949691772,false,inf,false,false,false,ARM
