GoldenEyeDiagnostic 0.0.2
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
CSV: .\demonstrations\session-20260727-234451-frames.csv
Frames uteis: 1003
Frame inicial do emulador: 2777

replay_index,emu_frame,source_relative_frame,event
228,3004,499,
229,3005,500,
230,3006,501,
231,3007,502,
232,3008,503,
233,3009,504,
234,3010,505,
235,3011,506,
236,3012,507,
237,3013,508,
238,3014,509,
239,3015,510,
240,3016,511,
241,3017,512,
242,3018,513,
243,3019,514,
244,3020,515,
245,3021,516,
246,3022,517,
247,3023,518,
248,3024,519,
249,3025,520,
250,3026,521,
251,3027,522,
252,3028,523,
253,3029,524,
254,3030,525,
255,3031,526,
256,3032,527,
257,3033,528,
258,3034,529,
259,3035,530,
260,3036,531,
261,3037,532,
262,3038,533,
263,3039,534,
264,3040,535,
265,3041,536,
266,3042,537,
267,3043,538,
268,3044,539,
269,3045,540,
270,3046,541,
271,3047,542,
272,3048,543,
273,3049,544,
274,3050,545,
275,3051,546,
276,3052,547,
277,3053,548,
278,3054,549,
279,3055,550,
280,3056,551,
281,3057,552,
282,3058,553,
283,3059,554,
284,3060,555,
285,3061,556,
286,3062,557,
287,3063,558,
288,3064,559,
289,3065,560,
290,3066,561,
291,3067,562,
292,3068,563,
293,3069,564,
294,3070,565,
295,3071,566,
296,3072,567,
297,3073,568,
298,3074,569,
299,3075,570,
300,3076,571,
301,3077,572,
302,3078,573,
303,3079,574,
304,3080,575,
305,3081,576,
306,3082,577,
307,3083,578,
308,3084,579,
309,3085,580,
310,3086,581,
311,3087,582,
312,3088,583,
313,3089,584,
314,3090,585,
315,3091,586,
316,3092,587,
317,3093,588,
318,3094,589,
319,3095,590,
320,3096,591,
321,3097,592,
322,3098,593,
323,3099,594,
324,3100,595,
325,3101,596,
326,3102,597,
327,3103,598,
328,3104,599,
329,3105,600,
330,3106,601,
331,3107,602,
332,3108,603,
333,3109,604,
334,3110,605,
335,3111,606,
336,3112,607,
337,3113,608,
338,3114,609,
339,3115,610,SOLDIER_VISIBLE
340,3116,611,
341,3117,612,
342,3118,613,
343,3119,614,
344,3120,615,
345,3121,616,
346,3122,617,
347,3123,618,
348,3124,619,
349,3125,620,
350,3126,621,
351,3127,622,
352,3128,623,
353,3129,624,
354,3130,625,
355,3131,626,
356,3132,627,
357,3133,628,
358,3134,629,
359,3135,630,
360,3136,631,
361,3137,632,
362,3138,633,
363,3139,634,
364,3140,635,
365,3141,636,
366,3142,637,
367,3143,638,
368,3144,639,
369,3145,640,
370,3146,641,
371,3147,642,
372,3148,643,
373,3149,644,
374,3150,645,
375,3151,646,
376,3152,647,
377,3153,648,
378,3154,649,
379,3155,650,
380,3156,651,
