relative_frame,emu_frame,route_index,event,checkpoint,state,death,hitSignal,pointer_hex,aux,differences
261,3342,262,,,0,0,0,0x801FABDC,0,""
262,3343,263,,,0,0,0,0x801FABDC,0,""
263,3344,264,,,0,0,0,0x801FABDC,0,""
264,3345,265,,,0,0,0,0x801FABDC,0,""
265,3346,266,,,0,0,0,0x801FABDC,0,""
266,3347,267,,,0,0,0,0x801FABDC,0,""
267,3348,268,,,0,0,0,0x801FABDC,0,""
268,3349,269,,,0,0,0,0x801FABDC,0,""
269,3350,270,,,0,0,0,0x801FABDC,0,""
270,3351,271,,,0,0,0,0x801FABDC,0,""
271,3352,272,,,0,0,0,0x801FABDC,0,""
272,3353,273,,,0,0,0,0x801FABDC,0,""
273,3354,274,,,0,0,0,0x801FABDC,0,""
274,3355,275,,,0,0,0,0x801FABDC,0,""
275,3356,276,,,0,0,0,0x801FABDC,0,""
276,3357,277,,,0,0,0,0x801FABDC,0,""
277,3358,278,,,0,0,0,0x801FABDC,0,""
278,3359,279,,,0,0,0,0x801FABDC,0,""
279,3360,280,,,0,0,0,0x801FABDC,0,""
280,3361,281,,,0,0,0,0x801FABDC,0,""
281,3362,282,,,0,0,0,0x801FABDC,0,""
282,3363,283,,,0,0,0,0x801FABDC,0,""
283,3364,284,,,0,0,0,0x801FABDC,0,""
284,3365,285,,,0,0,0,0x801FABDC,0,""
285,3366,286,,,0,0,0,0x801FABDC,0,""
286,3367,287,,,0,0,0,0x801FABDC,0,""
287,3368,288,,,0,0,0,0x801FABDC,0,""
288,3369,289,,,0,0,0,0x801FABDC,0,""
289,3370,290,,,0,0,0,0x801FABDC,0,""
290,3371,291,,,0,0,0,0x801FABDC,0,""
291,3372,292,,,0,0,0,0x801FABDC,0,""
292,3373,293,,,0,0,0,0x801FABDC,0,""
293,3374,294,,,0,0,0,0x801FABDC,0,""
294,3375,295,,,0,0,0,0x801FABDC,0,""
295,3376,296,,,0,0,0,0x801FABDC,0,""
296,3377,297,,,0,0,0,0x801FABDC,0,""
297,3378,298,,,0,0,0,0x801FABDC,0,""
