frame,event,mode,gate_enabled,armed,stable_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_active,normalized_active,acquisition_ready,gate_ready,blocker
3540,SAMPLE,ARM_AND_ACQUISITION,false,true,0,89,125.4663848877,125.4663848877,-178.30136108398,0.17926275730133,false,true,true,true,false,ARM
3545,SAMPLE,ARM_AND_ACQUISITION,false,true,0,94,127.90822601318,127.90822601318,-165.98864746094,0.16684687137604,false,true,true,true,false,ARM
3550,SAMPLE,ARM_AND_ACQUISITION,false,true,0,99,132.03907775879,132.03907775879,-145.05450439453,0.14565849304199,false,true,true,true,false,ARM
3555,SAMPLE,ARM_AND_ACQUISITION,false,true,0,104,135.27960205078,135.27960205078,-128.55308532715,0.12902402877808,false,true,true,true,false,ARM
3560,SAMPLE,ARM_AND_ACQUISITION,false,true,0,109,138.94413757324,138.94413757324,-109.78863525391,0.11004078388214,false,true,true,true,false,ARM
3565,SAMPLE,ARM_AND_ACQUISITION,false,true,0,114,144.87780761719,144.87780761719,-79.122055053711,0.079169034957886,false,true,true,true,false,ARM
3570,SAMPLE,ARM_AND_ACQUISITION,false,true,0,119,148.47282409668,148.47282409668,-60.379272460938,0.060377478599548,false,true,true,true,false,ARM
3575,SAMPLE,ARM_AND_ACQUISITION,false,true,0,124,151.44081115723,151.44081115723,-44.852340698242,0.044845700263977,false,true,true,true,false,ARM
3580,SAMPLE,ARM_AND_ACQUISITION,false,true,0,129,154.27632141113,154.27632141113,-30.002023696899,0.029937028884888,false,true,true,true,false,ARM
3585,SAMPLE,ARM_AND_ACQUISITION,false,true,1,0,157.13562011719,157.13562011719,-15.021335601807,0.014980554580688,true,true,true,true,true,NONE
3590,SAMPLE,ARM_AND_ACQUISITION,false,true,6,0,158.69958496094,158.69958496094,-6.8215689659119,0.0067352056503296,true,true,true,true,true,NONE
3595,SAMPLE,ARM_AND_ACQUISITION,false,true,0,4,159.97271728516,159.97271728516,-0.14314617216587,7.1883201599121e-05,true,false,false,false,false,ACQUISITION
3600,SAMPLE,ARM_AND_ACQUISITION,false,true,3,0,160.78494262695,160.78494262695,4.1188597679138,-0.0040507316589355,true,true,true,true,true,NONE
3605,SAMPLE,ARM_AND_ACQUISITION,false,true,8,0,161.20181274414,161.20181274414,6.3069705963135,-0.0062556266784668,true,true,true,true,true,NONE
3610,SAMPLE,ARM_AND_ACQUISITION,false,true,13,0,161.22631835938,161.22631835938,6.4358777999878,-0.0063519477844238,true,true,true,true,true,NONE
