GoldenEyeDiagnostic 0.0.5.8.6
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 197
Candidates exported: 197
CSV: .\output\shot-outcome-candidates-20260729-194219.csv

Snapshots:
BEFORE_SHOT | frame=2990
HIT | frame=4043
VISUAL_DEATH | frame=4478
MISS | frame=3335

Regions:
STATE_30A | 0x00030800-0x00030CFF
STATE_3CB | 0x0003C900-0x0003CDFF
OBJECT_1E | 0x001DF000-0x001E1FFF
POINTER_1F | 0x001F3000-0x001F4FFF

Top 150:
60 | region=OBJECT_1E | address=0x001E014A | type=U16_BE | kind=DEATH_SPECIFIC | score=11281.0 | before=0 | hit=0 | death=3890 | miss=0
61 | region=POINTER_1F | address=0x001F420E | type=U16_BE | kind=HIT_PERSISTENT | score=6176.0 | before=25984 | hit=38656 | death=25664 | miss=25984
62 | region=POINTER_1F | address=0x001F422E | type=U16_BE | kind=HIT_PERSISTENT | score=6176.0 | before=24640 | hit=37312 | death=24320 | miss=24640
63 | region=POINTER_1F | address=0x001F421F | type=U8 | kind=ZERO_ON_DEATH | score=1220 | before=220 | hit=220 | death=0 | miss=220
64 | region=POINTER_1F | address=0x001F421E | type=U8 | kind=ZERO_ON_DEATH | score=1171 | before=171 | hit=171 | death=0 | miss=171
65 | region=POINTER_1F | address=0x001F421C | type=U8 | kind=ZERO_ON_DEATH | score=1128 | before=128 | hit=128 | death=0 | miss=128
66 | region=POINTER_1F | address=0x001F422F | type=U8 | kind=ZERO_ON_DEATH | score=1064 | before=64 | hit=192 | death=0 | miss=64
67 | region=POINTER_1F | address=0x001F476F | type=U8 | kind=ZERO_ON_DEATH | score=1064 | before=64 | hit=0 | death=0 | miss=64
68 | region=POINTER_1F | address=0x001F421D | type=U8 | kind=ZERO_ON_DEATH | score=1031 | before=31 | hit=31 | death=0 | miss=31
69 | region=POINTER_1F | address=0x001F421C | type=F32_BE | kind=ZERO_ON_DEATH | score=1000.0 | before=-2.9085519081342e-39 | hit=-2.9085519081342e-39 | death=0 | miss=-2.9085519081342e-39
70 | region=OBJECT_1E | address=0x001E0108 | type=U32_BE | kind=DEATH_SPECIFIC | score=742.4 | before=16777224 | hit=16777224 | death=16777480 | miss=16777224
71 | region=OBJECT_1E | address=0x001E010A | type=U16_BE | kind=DEATH_SPECIFIC | score=742.4 | before=8 | hit=8 | death=264 | miss=8
72 | region=OBJECT_1E | address=0x001E0132 | type=U8 | kind=DEATH_SPECIFIC | score=690.2 | before=0 | hit=0 | death=238 | miss=0
73 | region=OBJECT_1E | address=0x001E0149 | type=U8 | kind=DEATH_SPECIFIC | score=684.4 | before=0 | hit=0 | death=236 | miss=0
74 | region=OBJECT_1E | address=0x001E0122 | type=U8 | kind=DEATH_SPECIFIC | score=675.7 | before=0 | hit=0 | death=233 | miss=0
75 | region=OBJECT_1E | address=0x001E0127 | type=U8 | kind=DEATH_SPECIFIC | score=672.8 | before=0 | hit=0 | death=232 | miss=0
76 | region=OBJECT_1E | address=0x001E0139 | type=U8 | kind=DEATH_SPECIFIC | score=672.8 | before=0 | hit=0 | death=232 | miss=0
77 | region=OBJECT_1E | address=0x001E0163 | type=U8 | kind=DEATH_SPECIFIC | score=632.2 | before=0 | hit=0 | death=218 | miss=0
78 | region=OBJECT_1E | address=0x001E0166 | type=U8 | kind=DEATH_SPECIFIC | score=629.3 | before=0 | hit=0 | death=217 | miss=0
79 | region=OBJECT_1E | address=0x001E0141 | type=U8 | kind=DEATH_SPECIFIC | score=620.6 | before=0 | hit=0 | death=214 | miss=0
80 | region=OBJECT_1E | address=0x001E016B | type=U8 | kind=DEATH_SPECIFIC | score=609.0 | before=0 | hit=0 | death=210 | miss=0
81 | region=OBJECT_1E | address=0x001E0125 | type=U8 | kind=DEATH_SPECIFIC | score=603.2 | before=0 | hit=0 | death=208 | miss=0
82 | region=POINTER_1F | address=0x001F454F | type=U8 | kind=HIT_PERSISTENT | score=576.0 | before=0 | hit=192 | death=192 | miss=0
83 | region=POINTER_1F | address=0x001F478F | type=U8 | kind=HIT_PERSISTENT | score=576.0 | before=0 | hit=192 | death=192 | miss=0
84 | region=OBJECT_1E | address=0x001E0145 | type=U8 | kind=DEATH_SPECIFIC | score=565.5 | before=0 | hit=0 | death=195 | miss=0
85 | region=OBJECT_1E | address=0x001E0164 | type=U8 | kind=DEATH_SPECIFIC | score=562.6 | before=0 | hit=0 | death=194 | miss=0
86 | region=OBJECT_1E | address=0x001E0131 | type=U8 | kind=DEATH_SPECIFIC | score=559.7 | before=0 | hit=0 | death=193 | miss=0
87 | region=OBJECT_1E | address=0x001E0177 | type=U8 | kind=DEATH_SPECIFIC | score=556.8 | before=0 | hit=0 | death=192 | miss=0
88 | region=OBJECT_1E | address=0x001E0143 | type=U8 | kind=DEATH_SPECIFIC | score=551.0 | before=0 | hit=0 | death=190 | miss=0
89 | region=OBJECT_1E | address=0x001E0120 | type=U8 | kind=DEATH_SPECIFIC | score=548.1 | before=0 | hit=0 | death=189 | miss=0
90 | region=OBJECT_1E | address=0x001E0124 | type=U8 | kind=DEATH_SPECIFIC | score=545.2 | before=0 | hit=0 | death=188 | miss=0
91 | region=OBJECT_1E | address=0x001E0134 | type=U8 | kind=DEATH_SPECIFIC | score=545.2 | before=0 | hit=0 | death=188 | miss=0
92 | region=OBJECT_1E | address=0x001E0129 | type=U8 | kind=DEATH_SPECIFIC | score=542.3 | before=0 | hit=0 | death=187 | miss=0
93 | region=OBJECT_1E | address=0x001E013A | type=U8 | kind=DEATH_SPECIFIC | score=513.3 | before=0 | hit=0 | death=177 | miss=0
94 | region=OBJECT_1E | address=0x001E0162 | type=U8 | kind=DEATH_SPECIFIC | score=507.5 | before=0 | hit=0 | death=175 | miss=0
95 | region=STATE_30A | address=0x00030A34 | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=1.4012984643248e-45 | death=4.2038953929745e-45 | miss=0
