GoldenEyeDiagnostic 0.0.5.6.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Scan range: 0x00000000-0x007FFFFC
Step: 4 bytes
Candidates exported: 1956
CSV: .\output\arm-horizontal-candidates-20260729-183052.csv

Snapshots:
NO_TARGET | frame=2710
TARGET_LEFT | frame=3671
TARGET_RIGHT | frame=5217
MANUAL_AIM | frame=6523

Top 100:
44 | address=0x003B30B4 | kind=ARM_HORIZONTAL_CANDIDATE | score=20481.111328125 | base=19662.73046875 | left=196.0 | right=20000.857421875 | manual=19709.8125 | dLeft=-19466.73046875 | dRight=338.126953125 | signOpposed=true
45 | address=0x0006A214 | kind=MANUAL_AIM_CANDIDATE | score=20330.425 | base=200896.671875 | left=201727.984375 | right=201727.984375 | manual=180399.984375 | dLeft=831.3125 | dRight=831.3125 | signOpposed=false
46 | address=0x000D8ECC | kind=MANUAL_AIM_CANDIDATE | score=20252.684375 | base=-25315.85546875 | left=0.0 | right=0.0 | manual=0.0 | dLeft=25315.85546875 | dRight=25315.85546875 | signOpposed=false
47 | address=0x003B3134 | kind=ARM_LEFT_CANDIDATE | score=20183.501171875 | base=-108.0 | left=20146.201171875 | right=12.0 | manual=-1.0 | dLeft=20254.201171875 | dRight=120.0 | signOpposed=false
48 | address=0x0007997C | kind=ARM_LEFT_CANDIDATE | score=19890.786816406 | base=227.828125 | left=-25566.83203125 | right=-10382.8671875 | manual=-5757.4287109375 | dLeft=-25794.66015625 | dRight=-10610.6953125 | signOpposed=false
49 | address=0x003B3290 | kind=ARM_LEFT_CANDIDATE | score=19598.067285156 | base=18892.314453125 | left=-1638.9399414063 | right=17103.78515625 | manual=18503.08984375 | dLeft=-20531.254394531 | dRight=-1788.529296875 | signOpposed=false
50 | address=0x003B2B14 | kind=ARM_HORIZONTAL_CANDIDATE | score=19210.53175354 | base=16902.072265625 | left=-192.60401916504 | right=17607.357421875 | manual=-107.0022354126 | dLeft=-17094.67628479 | dRight=705.28515625 | signOpposed=true
51 | address=0x0005D7B4 | kind=MANUAL_AIM_CANDIDATE | score=18876.547341156 | base=0.0 | left=90.801979064941 | right=14730.248046875 | manual=20358.65234375 | dLeft=90.801979064941 | dRight=14730.248046875 | signOpposed=false
52 | address=0x0005E684 | kind=MANUAL_AIM_CANDIDATE | score=18401.6 | base=23170.0 | left=160.0 | right=96.0 | manual=160.0 | dLeft=-23010.0 | dRight=-23074.0 | signOpposed=false
53 | address=0x003B316C | kind=ARM_LEFT_CANDIDATE | score=18339.14453125 | base=0.0 | left=-18339.14453125 | right=0.0 | manual=0.0 | dLeft=-18339.14453125 | dRight=0.0 | signOpposed=false
54 | address=0x003B3694 | kind=ARM_LEFT_CANDIDATE | score=18306.75390625 | base=0.0 | left=18306.75390625 | right=0.0 | manual=0.0 | dLeft=18306.75390625 | dRight=0.0 | signOpposed=false
55 | address=0x003B3000 | kind=ARM_LEFT_CANDIDATE | score=18126.430023193 | base=184.13442993164 | left=18310.564453125 | right=184.13442993164 | manual=184.13442993164 | dLeft=18126.430023193 | dRight=0.0 | signOpposed=false
56 | address=0x003B31DC | kind=ARM_LEFT_CANDIDATE | score=17967.492760277 | base=18892.314453125 | left=-6.5294790267944 | right=17107.509765625 | manual=18502.826171875 | dLeft=-18898.843932152 | dRight=-1784.8046875 | signOpposed=false
57 | address=0x0007995C | kind=ARM_LEFT_CANDIDATE | score=17882.229980469 | base=11367.018554688 | left=-9336.033203125 | right=6252.2412109375 | manual=8732.6875 | dLeft=-20703.051757813 | dRight=-5114.77734375 | signOpposed=false
58 | address=0x003B31C0 | kind=ARM_HORIZONTAL_CANDIDATE | score=17586.232098222 | base=16862.8515625 | left=-0.57975447177887 | right=17103.78515625 | manual=16906.86328125 | dLeft=-16863.431316972 | dRight=240.93359375 | signOpposed=true
59 | address=0x0007A1D8 | kind=ARM_RIGHT_CANDIDATE | score=17148.055078125 | base=0.0 | left=0.0 | right=19053.39453125 | manual=19053.39453125 | dLeft=0.0 | dRight=19053.39453125 | signOpposed=false
60 | address=0x003B317C | kind=ARM_LEFT_CANDIDATE | score=16938.64486084 | base=18892.314453125 | left=1022.3184204102 | right=17107.509765625 | manual=18502.826171875 | dLeft=-17869.996032715 | dRight=-1784.8046875 | signOpposed=false
61 | address=0x0005D784 | kind=MANUAL_AIM_CANDIDATE | score=16694.3078125 | base=19791.134765625 | left=4401.0 | right=3963.0 | manual=-25.0 | dLeft=-15390.134765625 | dRight=-15828.134765625 | signOpposed=false
62 | address=0x003B3234 | kind=ARM_LEFT_CANDIDATE | score=16500.138671875 | base=0.0 | left=-16500.138671875 | right=0.0 | manual=0.0 | dLeft=-16500.138671875 | dRight=0.0 | signOpposed=false
63 | address=0x003B3238 | kind=ARM_LEFT_CANDIDATE | score=16479.146484375 | base=0.0 | left=-16479.146484375 | right=0.0 | manual=0.0 | dLeft=-16479.146484375 | dRight=0.0 | signOpposed=false
64 | address=0x003B2EAC | kind=ARM_LEFT_CANDIDATE | score=16186.583789063 | base=17004.0234375 | left=-440.564453125 | right=14544.474609375 | manual=16721.7265625 | dLeft=-17444.587890625 | dRight=-2459.548828125 | signOpposed=false
65 | address=0x003B2B24 | kind=ARM_LEFT_CANDIDATE | score=16168.775 | base=0.0 | left=17951.1796875 | right=0.0 | manual=17824.046875 | dLeft=17951.1796875 | dRight=0.0 | signOpposed=false
66 | address=0x0007A1E0 | kind=ARM_RIGHT_CANDIDATE | score=15850.378125 | base=0.0 | left=0.0 | right=17611.53125 | manual=17611.53125 | dLeft=0.0 | dRight=17611.53125 | signOpposed=false
67 | address=0x0005D7AC | kind=MANUAL_AIM_CANDIDATE | score=15709.597436523 | base=19791.134765625 | left=73.0 | right=-36.103759765625 | manual=127.0 | dLeft=-19718.134765625 | dRight=-19827.238525391 | signOpposed=false
