frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,screen_x,screen_x_copy,raw_horizontal,normalized,soldier_state_a,soldier_state_b,soldier_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_dead,state_a_dead,state_b_dead,strong_kill,medium_kill,kill_candidate
46038,SAMPLE,COMPLETE,false,2,44,2,90,0,206.67080688477,206.67080688477,236.43000793457,-0.24023962020874,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46040,SAMPLE,COMPLETE,false,2,44,2,90,0,206.17889404297,206.17889404297,234.24304199219,-0.23774671554565,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46042,SAMPLE,COMPLETE,false,2,44,2,90,0,205.61129760742,205.61129760742,231.71954345703,-0.23491811752319,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46044,SAMPLE,COMPLETE,false,2,44,2,90,0,205.61129760742,205.61129760742,231.71954345703,-0.23491811752319,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46046,SAMPLE,COMPLETE,false,2,44,2,90,0,205.22125244141,205.22125244141,230.00979614258,-0.23304891586304,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46048,SAMPLE,COMPLETE,false,2,44,2,90,0,204.97521972656,204.97521972656,228.96667480469,-0.23180246353149,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46050,SAMPLE,COMPLETE,false,2,44,2,90,0,204.88995361328,204.88995361328,228.63870239258,-0.23137092590332,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46052,SAMPLE,COMPLETE,false,2,44,2,90,0,204.88995361328,204.88995361328,228.63870239258,-0.23137092590332,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46054,SAMPLE,COMPLETE,false,2,44,2,90,0,204.84616088867,204.84616088867,228.4937286377,-0.23113107681274,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46056,SAMPLE,COMPLETE,false,2,44,2,90,0,204.82727050781,204.82727050781,228.47323608398,-0.2310357093811,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46058,SAMPLE,COMPLETE,false,2,44,2,90,0,204.8302154541,204.8302154541,228.52824401855,-0.23108339309692,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46060,SAMPLE,COMPLETE,false,2,44,2,90,0,204.83361816406,204.83361816406,228.56951904297,-0.23108339309692,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46062,SAMPLE,COMPLETE,false,2,44,2,90,0,204.83361816406,204.83361816406,228.56951904297,-0.23108339309692,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46064,SAMPLE,COMPLETE,false,2,44,2,90,0,204.85850524902,204.85850524902,228.70411682129,-0.2312273979187,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46066,SAMPLE,COMPLETE,false,2,44,2,90,0,204.88336181641,204.88336181641,228.82905578613,-0.2313232421875,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46068,SAMPLE,COMPLETE,false,2,44,2,90,0,204.91719055176,204.91719055176,228.99682617188,-0.2315149307251,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46070,SAMPLE,COMPLETE,false,2,44,2,90,0,204.93598937988,204.93598937988,229.08938598633,-0.23156261444092,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46072,SAMPLE,COMPLETE,false,2,44,2,90,0,204.9501953125,204.9501953125,229.15840148926,-0.23156261444092,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46074,SAMPLE,COMPLETE,false,2,44,2,90,0,204.9501953125,204.9501953125,229.15840148926,-0.23165845870972,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46076,SAMPLE,COMPLETE,false,2,44,2,90,0,204.96401977539,204.96401977539,229.22453308105,-0.23175477981567,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46078,SAMPLE,COMPLETE,false,2,44,2,90,0,204.98062133789,204.98062133789,229.30366516113,-0.23180246353149,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46080,SAMPLE,COMPLETE,false,2,44,2,90,0,204.99172973633,204.99172973633,229.35620117188,-0.23185014724731,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46082,SAMPLE,COMPLETE,false,2,44,2,90,0,205.00489807129,205.00489807129,229.41870117188,-0.23194646835327,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46084,SAMPLE,COMPLETE,false,2,44,2,90,0,205.01077270508,205.01077270508,229.44577026367,-0.23194646835327,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46086,SAMPLE,COMPLETE,false,2,44,2,90,0,205.01077270508,205.01077270508,229.44577026367,-0.23194646835327,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46088,SAMPLE,COMPLETE,false,2,44,2,90,0,205.0234375,205.0234375,229.50526428223,-0.23204231262207,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46090,SAMPLE,COMPLETE,false,2,44,2,90,0,205.04972839355,205.04972839355,229.62916564941,-0.23213815689087,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
